ASV	Domain	Phylum	Class	Order	Family	Genus	Species	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
547ed9d63f007845c48db64ef3e5aab6	d__Bacteria	p__Bacteroidota.12	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	NA	3.0286787688556394	2.2031040055626425	0.5703208087485552	3.862920608485029	1.1203942806402936e-4	0.0011783541821949745
4533bf5ce3fb980fcb1a62e29b3b304b	d__Bacteria	p__Bacteroidota.13	c__Bacteroidia	o__Bacteroidales	f__Marinifilaceae	g__Butyricimonas	NA	3.0359317549055875	2.2067841617757717	0.5461588817003237	4.040553464782121	5.332520618905161e-5	6.693881765143302e-4
26c6e3ed14694582e207478c1f23c21f	d__Bacteria	p__Bacillota.29	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Turicibacter	NA	6.182431347873997	2.256119260971781	0.5735990546618175	3.933268792261075	8.379844102166787e-5	9.51201452873613e-4
94928715987dcb9638dd5c0e8f9b20f4	d__Bacteria	p__Bacillota.30	c__Clostridia	o__Christensenellales	f__Christensenellaceae	g__Christensenellaceae_R-7_group	NA	4.34216956511159	2.263597595601943	0.5529840351952501	4.093423049370136	4.2505118091565715e-5	5.599130988111188e-4
cdb51e76d8a1285c98a2b962844419db	d__Bacteria	p__Bacillota.31	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Moryella	NA	3.138559319093005	2.263917260487945	0.5623632031369811	4.025720829277832	5.680104591236446e-5	6.88712681687419e-4
a891fb44241e433fa8acf251ef4d328f	d__Bacteria	p__Bacillota.32	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnoclostridium	NA	30.169774799030776	2.264182908822741	0.6791812044531245	3.333694887281012	8.57006104057828e-4	0.0069412166091002364
742e1f191223f58590661de80b9d6e3b	d__Bacteria	p__Bacteroidota.14	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	NA	234.53107865209162	2.2761630926540803	0.8079574900756795	2.8171817460852764	0.004844710208096511	0.027942193470480957
306885bb108656641ce13c5a740ef46c	d__Bacteria	p__Bacillota.33	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Family_XI	g__Murdochiella	NA	162.922788347316	2.2813052818091757	0.7358836414913552	3.1000896788327035	0.001934620578836145	0.013580527352751096
8538d07b8c1e8676f9b9c8c242aab14a	d__Bacteria	p__Bacillota.34	c__Clostridia	o__Oscillospirales	f__[Eubacterium]_coprostanoligenes_group	g__Incertae_Sedis	NA	48.98178993194395	2.2901829532117453	0.7409855023210475	3.090725724103945	0.0019966797668108842	0.013834138384332555
a01b3da2645cda5a1311bca65b756fb2	d__Bacteria	p__Bacillota.35	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Dielma	NA	3.197561152503376	2.2957712888178956	0.5645810261673034	4.066327386881729	4.775983023894198e-5	6.066635579160844e-4
